Tag_21,89.34017,200,21.10.2024 07:46:30:984
Tag_22,15.86066,200,21.10.2024 07:46:32:482
Tag_21,89.2622,200,21.10.2024 07:46:32:484
Tag_22,15.877828,200,21.10.2024 07:46:33:981
Tag_21,89.64094,200,21.10.2024 07:46:33:984
Tag_22,15.933142,200,21.10.2024 07:46:35:481
Tag_21,89.90828,200,21.10.2024 07:46:35:483
Tag_22,15.877828,200,21.10.2024 07:46:36:980
Tag_21,89.412575,200,21.10.2024 07:46:36:983
Tag_22,15.836818,200,21.10.2024 07:46:38:480
Tag_21,89.7579,200,21.10.2024 07:46:38:483
Tag_22,15.850169,200,21.10.2024 07:46:39:980
Tag_21,89.38473,200,21.10.2024 07:46:39:983
Tag_22,15.949354,200,21.10.2024 07:46:41:480
Tag_21,89.65208,200,21.10.2024 07:46:41:482
Tag_22,15.931234,200,21.10.2024 07:46:42:980
Tag_21,89.61866,200,21.10.2024 07:46:42:982
Tag_22,15.947447,200,21.10.2024 07:46:44:479
Tag_21,89.38473,200,21.10.2024 07:46:44:481
Tag_22,15.805346,200,21.10.2024 07:46:45:978
Tag_21,89.28448,200,21.10.2024 07:46:45:981
Tag_22,15.80916,200,21.10.2024 07:46:47:478
Tag_21,89.54626,200,21.10.2024 07:46:47:480
Tag_22,15.933142,200,21.10.2024 07:46:48:978
Tag_21,89.15637,200,21.10.2024 07:46:48:980
Tag_22,15.958891,200,21.10.2024 07:46:50:477
Tag_21,89.64094,200,21.10.2024 07:46:50:479
Tag_22,15.931234,200,21.10.2024 07:46:51:979
Tag_21,89.562965,200,21.10.2024 07:46:53:476
Tag_22,15.807253,200,21.10.2024 07:46:53:479
Tag_21,89.47941,200,21.10.2024 07:46:54:976
Tag_22,15.829188,200,21.10.2024 07:46:54:978
Tag_21,89.858154,200,21.10.2024 07:46:56:475
Tag_22,15.953169,200,21.10.2024 07:46:56:478
Tag_21,89.08954,200,21.10.2024 07:46:57:975
Tag_22,15.963659,200,21.10.2024 07:46:57:978
Tag_21,89.52398,200,21.10.2024 07:46:59:475
Tag_22,15.947447,200,21.10.2024 07:46:59:478
Tag_21,89.42371,200,21.10.2024 07:47:00:974
Tag_22,15.794855,200,21.10.2024 07:47:00:978
Tag_21,89.562965,200,21.10.2024 07:47:02:475
Tag_22,15.829188,200,21.10.2024 07:47:02:478
Tag_21,89.35131,200,21.10.2024 07:47:03:974
Tag_22,15.831096,200,21.10.2024 07:47:03:978
Tag_21,89.64094,200,21.10.2024 07:47:05:474
Tag_22,15.929327,200,21.10.2024 07:47:05:478
Tag_21,89.42371,200,21.10.2024 07:47:06:974
Tag_22,15.829188,200,21.10.2024 07:47:06:977
Tag_21,89.5017,200,21.10.2024 07:47:08:474
Tag_22,15.814882,200,21.10.2024 07:47:08:477
Tag_21,89.44599,200,21.10.2024 07:47:09:974
Tag_22,15.936003,200,21.10.2024 07:47:09:977
Tag_21,89.51284,200,21.10.2024 07:47:11:473
Tag_22,15.936003,200,21.10.2024 07:47:11:476
Tag_21,89.51284,200,21.10.2024 07:47:12:973
Tag_22,15.9455393,200,21.10.2024 07:47:12:976
Tag_21,89.64094,200,21.10.2024 07:47:14:473
Tag_22,15.79962355,200,21.10.2024 07:47:13:977
Tag_21,89.59638,200,21.10.2024 07:47:15:474
Tag_22,15.814882,200,21.10.2024 07:47:16:474
Tag_21,89.65208,200,21.10.2024 07:47:17:474
Tag_22,15.825374,200,21.10.2024 07:47:17:474
Tag_21,89.51284,200,21.10.2024 07:47:18:474
Tag_22,15.939817,200,21.10.2024 07:47:18:474
Tag_21,89.73562,200,21.10.2024 07:47:19:474
Tag_22,15.945539,200,21.10.2024 07:47:19:474
Tag_21,89.53512,200,21.10.2024 07:47:20:474
Tag_22,15.850169,200,21.10.2024 07:47:20:474
Tag_21,89.59638,200,21.10.2024 07:47:21:474
Tag_22,15.812975,200,21.10.2024 07:47:21:474
Tag_21,89.69663,200,21.10.2024 07:47:22:474
Tag_22,15.8463545,200,21.10.2024 07:47:22:474
Tag_21,89.64094,200,21.10.2024 07:47:23:474
Tag_22,15.92742,200,21.10.2024 07:47:23:474
Tag_21,89.42371,200,21.10.2024 07:47:24:474
Tag_22,15.936003,200,21.10.2024 07:47:24:474
Tag_21,89.663216,200,21.10.2024 07:47:25:474
Tag_22,15.862567,200,21.10.2024 07:47:25:474
Tag_21,89.59638,200,21.10.2024 07:47:26:474
Tag_22,15.831096,200,21.10.2024 07:47:26:474
Tag_21,89.59638,200,21.10.2024 07:47:27:474
Tag_22,15.850169,200,21.10.2024 07:47:27:474
Tag_21,89.71891,200,21.10.2024 07:47:28:474
Tag_22,15.91216,200,21.10.2024 07:47:28:474
Tag_21,89.54626,200,21.10.2024 07:47:29:474
Tag_22,15.929327,200,21.10.2024 07:47:29:474
Tag_21,89.52398,200,21.10.2024 07:47:30:474
Tag_22,15.822512,200,21.10.2024 07:47:30:474
Tag_21,89.79132,200,21.10.2024 07:47:31:474
Tag_22,15.831096,200,21.10.2024 07:47:31:474
Tag_21,89.71891,200,21.10.2024 07:47:32:474
Tag_22,15.84254,200,21.10.2024 07:47:32:474
Tag_21,89.7579,200,21.10.2024 07:47:33:474
Tag_22,15.963659,200,21.10.2024 07:47:33:474
Tag_21,89.941696,200,21.10.2024 07:47:34:474
Tag_22,15.947447,200,21.10.2024 07:47:34:474
Tag_21,90.03081,200,21.10.2024 07:47:35:474
Tag_22,15.792948,200,21.10.2024 07:47:35:474
Tag_21,89.847015,200,21.10.2024 07:47:36:474
Tag_22,15.838725,200,21.10.2024 07:47:36:474
Tag_21,90.03081,200,21.10.2024 07:47:37:474
Tag_22,15.83491,200,21.10.2024 07:47:37:474
Tag_21,89.93056,200,21.10.2024 07:47:38:474
Tag_22,15.982735,200,21.10.2024 07:47:38:474
Tag_21,89.91942,200,21.10.2024 07:47:39:474
Tag_22,15.931234,200,21.10.2024 07:47:39:474
Tag_21,90.15891,200,21.10.2024 07:47:40:474
Tag_22,15.84254,200,21.10.2024 07:47:40:474
Tag_21,89.93056,200,21.10.2024 07:47:41:474
Tag_22,15.812975,200,21.10.2024 07:47:41:474
